🕘️更新时间,#genre#
2026-03-09 21:42:18,http://183.62.8.58:50085/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0

📺央视频道,#genre#
CCTV-1,http://183.62.8.58:50085/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://124.228.160.14:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://183.10.180.30:202/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-1,http://183.10.180.9:202/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-1,http://111.221.137.234:44330/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2,http://183.62.8.58:50085/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://124.228.160.14:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://183.10.180.30:202/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-2,http://183.10.180.9:202/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-2,http://183.10.180.10:202/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-3,http://183.62.8.58:50085/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://124.228.160.14:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://183.10.180.30:202/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-3,http://183.10.180.9:202/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-3,http://183.10.180.10:202/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-4,http://183.62.8.58:50085/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://183.10.180.9:202/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-4,http://124.228.160.14:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://183.10.180.254:202/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-4,http://183.10.180.30:202/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-5,http://183.62.8.58:50085/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://111.221.137.234:44330/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5,http://124.228.160.14:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://111.221.137.234:44330/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5,http://124.228.160.14:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://113.65.163.95:4333/rtp/239.77.0.87:5146
CCTV-5+,http://125.92.140.39:4022/rtp/239.77.0.87:5146
CCTV-5+,http://113.101.244.220:10000/rtp/239.77.0.87:5146
CCTV-5+,http://14.157.24.211:2345/rtp/239.77.0.87:5146
CCTV-5+,http://14.153.167.61:4022/rtp/239.77.0.87:5146
CCTV-6,http://183.62.8.58:50085/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://183.10.180.9:202/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-6,http://183.10.180.34:202/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-6,http://124.228.160.14:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://183.10.180.254:202/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-7,http://124.228.160.14:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://183.10.180.9:202/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-7,http://183.10.180.30:202/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-7,http://183.10.180.22:202/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-7,http://183.10.180.33:202/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-8,http://183.62.8.58:50085/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://124.228.160.14:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://183.10.180.9:202/tsfile/live/1110_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-8,http://183.10.180.254:202/tsfile/live/1110_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-8,http://183.10.180.30:202/tsfile/live/1110_1.m3u8?key=txiptv&playlive=1&down=1
